Asset,Expected_Return_%,MVP_Weight,Tangency_Weight
Asset_1,1.5717516666666669,0.01956347650927663,0.4975919348227182
Asset_2,0.2996283333333334,0.03456489098457279,-0.8115427004821155
Asset_3,0.7735833333333336,0.1435155464761379,-0.1995544528027307
Asset_4,2.11093,0.04742055720820001,0.2685392319922265
Asset_5,1.0826966666666666,-0.055027887354838725,-0.2954597147138995
Asset_6,1.645255,0.1313693172630526,0.29863461524866375
Asset_7,1.490345,-0.07442255833822362,-0.29846877237663666
Asset_8,0.38236666666666674,0.2028856413901109,0.33212058167426856
Asset_9,2.5492016666666664,-0.10115035395001293,-0.022355970072285847
Asset_10,0.561743333333333,-0.018567950450105154,0.006175744530583702
Asset_11,0.8022966666666667,0.31933199619170693,-0.04300196818181251
Asset_12,0.7477133333333335,-0.13827834196445618,-0.24273421133977197
Asset_13,0.9867349999999999,-0.035170320244551544,0.02940287712602225
Asset_14,-0.29707999999999996,-0.15419029352043453,-0.6436921911063693
Asset_15,0.8795016666666667,-0.2040714275328734,-0.3253545211723478
Asset_16,0.8907149999999999,0.27104043165092734,1.3748463645592248
Asset_17,2.0146999999999995,0.21344320111880222,-0.40660546962730054
Asset_18,1.6841116666666665,0.11118312614788281,0.2968195930899625
Asset_19,-0.7804966666666666,-0.04585196485475952,-0.584625762135058
Asset_20,2.2632350000000008,0.09345298215319763,0.5824290635822491
Asset_21,1.5413399999999997,-0.07275537455494549,0.15278232719283977
Asset_22,0.039418333333333375,0.12500343241693948,-0.21618194586318706
Asset_23,0.8699500000000001,0.008400258324500363,-0.017993465569547156
Asset_24,1.3520049999999997,0.03229056321526259,0.06364852550064724
Asset_25,0.9720500000000001,0.26237766079924796,0.11156891362548414
Asset_26,5.567829999999999,-0.03999057970594716,0.30024641021942794
Asset_27,2.532196666666667,0.08581223582619903,1.0399368274520417
Asset_28,0.7731733333333335,0.02939683638357559,-0.38835861396144244
Asset_29,1.018611666666667,-0.18094378915675224,0.16503864075675712
Asset_30,0.4289933333333332,-0.01063131243169286,-0.023851891968611007
